model,input,label,eval,pooled_r,pooled_r_sd,per_session_r,per_session_r_sd,per_session_r_iqr,per_session_r_q1,per_session_r_q3,per_session_r_min,per_session_r_max,ci_lo,ci_hi,per_session_pos,mae,n_folds,n_sessions,n_subjects,n_params
MLP-TCN,features,event_locked,within_subject,0.3926793158054352,0.02739229959381258,0.26870008563916936,0.16876867464606518,0.25615498423576355,0.14443334937095642,0.40058833360671997,-0.061259832233190536,0.6631277799606323,0.21357000256741518,0.3250351377556983,0.9578947368421052,0.18996798396110534,5,95,19,116801
MLP-TCN,features,event_locked,cross_subject,0.35003820061683655,0.13143293985663995,0.27460040963224824,0.18791993596106712,0.27195965871214867,0.1366679035127163,0.40862756222486496,-0.1263403594493866,0.6638050079345703,0.2118577077945889,0.3378694647083205,0.9354838709677419,0.1999054104089737,5,62,27,116801
MLP-TCN,features,event_locked,within_subject,0.2801225185394287,0.0542614566993304,0.24399176830131758,0.18308996247489354,0.2680624946951866,0.11170365661382675,0.37976615130901337,-0.11992446333169937,0.6623164415359497,0.18283321112100231,0.3021149531300915,0.8947368421052632,0.21018919050693513,5,95,19,121409
MLP-TCN,features,event_locked,cross_subject,0.3048382580280304,0.13830383233822804,0.24660748887747044,0.18442342717236154,0.27258917689323425,0.1087590754032135,0.38134825229644775,-0.1470816284418106,0.5735008716583252,0.1948243727539713,0.2969682186750823,0.9193548387096774,0.2131955713033676,5,62,27,121409
CNN-TCN,raw,event_locked,within_subject,0.45573331117630006,0.05444522850786231,0.2986509628593922,0.16710201547270984,0.2315920740365982,0.18952569365501404,0.42111776769161224,-0.0981718897819519,0.7191144227981567,0.23528928944007738,0.3577957095225391,0.9473684210526315,0.1905627429485321,5,95,19,156001
CNN-TCN,raw,event_locked,cross_subject,0.34221650958061217,0.1239983604340655,0.28413009397204847,0.1662025208758039,0.23456595093011856,0.17075272649526596,0.4053186774253845,-0.0932750403881073,0.5644814372062683,0.22502006965551952,0.34059640429299237,0.9193548387096774,0.21412847340106964,5,62,27,156001
GNN,"graph, no time",event_locked,within_subject,0.273736247420311,0.053827078188645655,0.19108934894596274,0.12434900072697906,0.19864730536937714,0.0893401950597763,0.28798750042915344,-0.04782493785023689,0.5443803668022156,0.15433642306316056,0.22927127150132467,0.9473684210526315,0.19817805886268616,5,95,19,
GNN,"graph, no time",event_locked,cross_subject,0.2645447701215744,0.1161301582640195,0.20840314401674173,0.13741252225847134,0.19648982398211956,0.10066268779337406,0.2971525117754936,-0.1129290759563446,0.5772143602371216,0.16595981786645755,0.2530450800525224,0.9354838709677419,0.198218435049057,5,62,27,
GNN-LSTM,graph,event_locked,within_subject,0.4305566370487213,0.05416826831743613,0.29935260299397143,0.16929568861520794,0.2432839348912239,0.19033709913492203,0.43362103402614594,-0.044759415090084076,0.6970998048782349,0.24825531403289028,0.35248000134959034,0.9368421052631579,0.18789012730121613,5,95,19,373538
GNN-LSTM,graph,event_locked,cross_subject,0.3813370645046234,0.08386704615962237,0.27835601366936197,0.15054480437129694,0.22420337051153183,0.16055116802453995,0.3847545385360718,-0.1422145515680313,0.6845000982284546,0.23228796318373593,0.326734716657801,0.9838709677419355,0.1891329675912857,5,62,27,373538
TIME,elapsed time,event_locked,within_subject,0.11831976830843331,0.041580129499323805,0.08930817703462646,0.22445989839281488,0.2673477820405271,-0.03835175683431018,0.22899602520621692,-0.371441568335937,0.7305709319039878,nan,nan,0.6526315789473685,0.20341931735546886,5,95,,2
TIME,elapsed time,event_locked,cross_subject,0.08355889597098967,0.07921376370217277,0.05827617476258373,0.220692126126009,0.26934015275101203,-0.09554588283913072,0.17379426991188132,-0.371441568335937,0.7305709319039878,nan,nan,0.5806451612903226,0.20723533683338516,5,62,,2
MLP-TCN,features,smoothed,within_subject,0.5062835395336152,0.04022631972249133,0.45890106178428,0.2713005638545845,0.3818269520998001,0.30405907332897186,0.685886025428772,-0.17318303883075714,0.924068808555603,0.3631506146588608,0.5462066545298225,0.9157894736842105,0.1496657371520996,5,95,19,116801
MLP-TCN,features,smoothed,cross_subject,0.38670717626810075,0.1821012870430031,0.4352146387231656,0.2592717617103201,0.33022265136241913,0.2954771816730499,0.625699833035469,-0.2500486969947815,0.9115268588066101,0.3564501949273061,0.5136063239707738,0.9032258064516129,0.1640150636434555,5,62,27,116801
MLP-TCN,features,smoothed,within_subject,0.41849833726882935,0.10413370455338097,0.38443710156226235,0.3298790106475093,0.4159047156572342,0.23807956278324127,0.6539842784404755,-0.40687090158462524,0.8377482891082764,0.2751320474262129,0.48959534398592575,0.8421052631578947,0.1697160542011261,5,95,19,121409
MLP-TCN,features,smoothed,cross_subject,0.3586388111114502,0.1740738760244279,0.41368393471930176,0.29762191988507186,0.3943553790450096,0.2543150410056114,0.648670420050621,-0.32371777296066284,0.8635727167129517,0.32088051900561704,0.5013245159303773,0.8709677419354839,0.17124108374118804,5,62,27,121409
CNN-TCN,raw,smoothed,within_subject,0.48148983120918276,0.09828951140682043,0.39601511973397513,0.31190173424037887,0.5022124201059341,0.1562989503145218,0.6585113704204559,-0.4186490774154663,0.8741006851196289,0.3064205302089747,0.48544389174613906,0.8947368421052632,0.16536469757556915,5,95,19,156001
CNN-TCN,raw,smoothed,cross_subject,0.21227507442235946,0.1773384961293829,0.31164950727214735,0.3473196892087608,0.454559825360775,0.12860741466283798,0.583167240023613,-0.5724865198135376,0.8810107707977295,0.196045420575989,0.42226610051820934,0.8387096774193549,0.20195323526859282,5,62,27,156001
GNN,"graph, no time",smoothed,within_subject,0.2931165337562561,0.03297005918823454,0.21862651477322767,0.17807707880192025,0.2249610759317875,0.11533517763018608,0.34029625356197357,-0.24063140153884888,0.6536428928375244,0.16804018500089452,0.26888997217640287,0.8736842105263158,0.16245675086975098,5,95,19,
GNN,"graph, no time",smoothed,cross_subject,0.2770950198173523,0.12529691277667668,0.24036829789439518,0.18362512513381749,0.2371844667941332,0.12069139443337917,0.35787586122751236,-0.19833853840827942,0.7087703943252563,0.18727548984760367,0.29813869802227466,0.9032258064516129,0.161036479473114,5,62,27,
GNN-LSTM,graph,smoothed,within_subject,0.47940018177032473,0.03564324726475469,0.3957542919994969,0.2513642160831467,0.3147520571947098,0.25708340108394623,0.571835458278656,-0.32382452487945557,0.8777941465377808,0.31866531508533574,0.46541164378978706,0.9052631578947369,0.14939137995243074,5,95,19,373538
GNN-LSTM,graph,smoothed,cross_subject,0.46248250603675845,0.14982077029630655,0.4439920294549196,0.25274512178028513,0.31522201746702194,0.31883565336465836,0.6340576708316803,-0.2362838089466095,0.9069725275039673,0.36876558236452556,0.5203623249747873,0.9354838709677419,0.15297322869300842,5,62,27,373538
TIME,elapsed time,smoothed,within_subject,-0.034302015639075215,0.10915093064323028,-0.07490151432461548,0.4299594878387559,0.6295772171183658,-0.42013390107400717,0.20944331604435865,-0.9297180239497337,0.9297180239497338,nan,nan,0.43157894736842106,0.16875353759544304,5,95,,2
TIME,elapsed time,smoothed,cross_subject,-0.03633475818392129,0.08963873302238327,-0.07095395120592714,0.3974397866760897,0.5458254006742953,-0.30730032229930554,0.2385250783749898,-0.9297180239497336,0.6685584536316005,nan,nan,0.43548387096774194,0.16964792627838973,5,62,,2
